Temperature,E,Esquared,E4,C1,C2,C12,C3,Cv,V
0.34,-143.355,20563,4.23842e+08,0.962868,0.962416,0.962642,0.941818,106.853,0.665876
0.35,-143.384,20571.2,4.24165e+08,0.965546,0.965673,0.965609,0.936463,99.7953,0.665887
0.36,-141.269,19972.2,4.00085e+08,0.9501,0.95046,0.95028,0.924824,117.26,0.665667
0.37,-140.566,19778.6,3.92733e+08,0.947493,0.948661,0.948077,0.915174,144.042,0.665356
0.38,-139.288,19422.6,3.78879e+08,0.939873,0.939031,0.939452,0.906853,148.833,0.665216
0.39,-137.221,18855.9,3.57504e+08,0.927577,0.925765,0.926671,0.891074,173.372,0.66483
0.4,-135.304,18336.4,3.38337e+08,0.914348,0.914792,0.91457,0.87693,183.288,0.664571
0.41,-133.163,17764.6,3.17831e+08,0.901186,0.902248,0.901717,0.859822,191.68,0.664289
0.42,-133.373,17821.3,3.19898e+08,0.906946,0.906484,0.906715,0.854036,186.518,0.664256
0.43,-130.226,16997.2,2.91468e+08,0.886844,0.884888,0.885866,0.83279,207.351,0.663708
0.44,-125.586,15816.5,2.52924e+08,0.85636,0.854516,0.855438,0.800846,230.433,0.662984
0.45,-121.499,14826.6,2.23594e+08,0.82928,0.827719,0.828499,0.772986,318.78,0.660957
0.46,-123.873,15398.3,2.40383e+08,0.847169,0.849848,0.848508,0.780434,254.692,0.662061
0.47,-118.081,14009.3,1.99903e+08,0.812858,0.813056,0.812957,0.735704,299.659,0.66048
0.48,-116.286,13585.2,1.87896e+08,0.80196,0.803221,0.80259,0.720538,272.512,0.660637
0.49,-112.712,12772.6,1.66614e+08,0.778698,0.783443,0.78107,0.692104,285.734,0.65957
0.5,-108.187,11782.9,1.42449e+08,0.752796,0.752451,0.752623,0.658487,314.188,0.657995
0.51,-103.591,10834.3,1.21767e+08,0.72696,0.726499,0.72673,0.618361,396.766,0.654215
0.52,-101.725,10439.5,1.12757e+08,0.716146,0.715127,0.715636,0.603234,338.269,0.655123
0.53,-98.3167,9777.17,9.98316e+07,0.699113,0.69584,0.697477,0.571381,395.107,0.651887
0.54,-91.4935,8505.2,7.66972e+07,0.653899,0.655084,0.654491,0.520887,460.024,0.646582
